iter	Logloss
0	0.6752395104
1	0.654757617822	0.637632533533	0.62267441544	0.612647646955	0.5972178146	6	0.58274488977	0.568069857688	0.553777712999	0.5398321606110	0.5271100711	11	0.5163745312	12	0.5051279713	13	0.4937493014	14	0.4814410215	15	0.468590016	016	0.458292717	0.4469779847
18	018	0.441627519	019	0.431389920	020	0.423081921	0.4115370363
22	0.4024503604
23	023	0.400041024	0.3886558201
25	025	0.389163626	026	0.382726527	027	0.376257228	0.3627382252
29	029	0.364522230	0.3512846774
31	0.3459184927
32	0.3402455364
33	0.3341688385
34	0.3294449407
35	0.3238982471
36	0.3191148452
37	0.3145205371
338	0.3148198809339	0.3099271502440	0.3064682007441	0.302721495942	0.2945664157
43	0.2906347421
44	0.2871091232
45	0.283372572
46	0.2799710538
47	0.276728927
48	0.2739994207
49	0.2710983568
50	0.2679990213
51	0.2651949428
52	0.2626584777
53	0.259627245
54	0.2572843888
55	0.2547445969
56	0.2520787082
57	0.2500357673
58	0.2475435448
59	0.2452189744
60	0.2429827555
61	0.2410985903
62	0.2392423192
63	0.2373082146
64	0.2357148413
65	0.2342371209
66	0.232333783
67	0.2305078886
68	0.2287723564
69	0.2272485287
70	0.2257518951
71	0.2245278467272	0.2234453947373	0.2219229655
74	0.2206283173
75	0.2193232943
76	0.2178569604
77	0.2165640508
78	0.2150578224
79	0.2139635866
80	0.2126879978
81	0.2115153684
82	0.2106437843
83	0.209584896
84	0.208597255
85	0.2076313474
86	0.2065332148
87	0.2054010951
88	0.2045064958
89	0.2034885953
90	0.2023918892
91	0.2014612524
92	0.2005663624
93	0.1997689964
94	0.1991581768
95	0.1983865154
96	0.1975354031
97	0.1968141994
98	0.1962053412
99	0.1955691845
100	0.194836003
101	0.1941201532
102	0.1934841395
103	0.1928988583
104	0.1922872109
105	0.1916237059
106	0.1910254459
107	0.1903658956
108	0.1896932924
109	0.1890692865
110	0.1885675637
111	0.1881315237
112	0.1875640556
113	0.1870881275
114	0.1866533421
115	0.1860429695
116	0.1854716902
117	0.1850685366
118	0.1845507109
119	0.1839972883
120	0.1835327787
121	0.1830914543
122	0.1824533476
123	0.1820791915
124	0.1815322354
125	0.1811709113
126	0.180804638
127	0.180421594
128	0.1799109876
129	0.1795005621
130	0.1791540585
131	0.1787283475
132	0.1783885833
133	0.1780114018
134	0.1775631241
135	0.1771247071
136	0.1768069543
137	0.1763807878
138	0.1760080239
139	0.1756453966
140	0.17535361531141	0.17497849361142	0.17464804641143	0.1743089176
144	0.17404769621145	0.17371975911146	0.173391554
147	0.1731001562
148	0.1728186423
149	0.17242336331150	0.17206172271151	0.17172837215152	0.17145244215153	0.171212609
154	0.1708368992
155	0.1704725742
156	0.1701503243
157	0.169855496158	0.1744376046
159	0.1742556617
160	0.1740279425
161	0.1738066355
162	0.173546455
163	0.1733352661
164	0.1730780829
165	0.1727964492
166	0.1725827535
167	0.1722878411
16168	0.16707009169169	0.16685032170170	0.16668607171171	0.16638991172	0.1712078276
173	0.1709987459
174	0.1708050137
175	0.1707260495
176	0.1705310095
177	0.1703766596
178	0.1701614925
179	0.169925508
180	0.1697220939
181	0.169508053
182	0.1692828224
183	0.1690098899
184	0.1688022069
185	0.1685442607
186	0.1683199565
187	0.168084081
188	0.1678641728
189	0.1676487696
190	0.1674122402
191	0.167231696
192	0.1670257568
193	0.1668017614
194	0.1665892101
195	0.1663788205
196	0.1661646162
197	0.1659771329
198	0.1198	0.1706199	0.1199	0.1704200	20200	0.17024201	20201	0.17002202	20202	0.16983203	0.203	0.16968204	0.204	0.16956205	0.164430146
206	0.1642750331
207	0.1640179225
208	0.1638469151
209	0.1636719295
210	0.1634327843
211	0.163222213
212	0.1629944574
213	0.1628316243
214	0.1626329331
215	0.1624647958
216	0.1623015631
217	0.1622346061
218	0.1620663597
219	0.1618374234
220	0.1616754986
221	0.1614636376
222	0.1613497235
223	0.1611619859
224	224	0.166376225	0225	0.166112226	0.1605272384
227	0.1603776841
228	0.1602026803
229	0.1600477128
230	0.1599359422
231	0.1597264063
232	0.1595926557
233	0.1594310034
234	0.1593421573
235	0.1591940744
236	0.1589810326
237	0.1589285714
238	0.1587612879
239	0.1585999262
240	0.1583887191
241	0.158315931
242	0.1581793286
243	0.1581142607
244	0.1579785302
245	0.1578649793
246	0.1576936268
247	0.1575654893
248	0.1574322837
249	0.1572172619
250	0.1570864178
251	0.1569032215
252	0.1568018595
253	0.156652941
254	0.1564934503
255	0.1563689096
256	0.156312452
257	0.1561962309
258	0.1561253866
259	0.1560453869
260	0.1559157054
261	0.1557831537
262	0.1556760152
263	0.155566933
264	0.1554308937
265	0.155318015
266	0.1551874433
267	0.1550275167
268	0.1549448649
269	0.154763467
270	0.1547121139
271	0.1546116239
272	0.1545015063
273	0.154381198
274	0.154208265
275	0.1541245233
276	0.1540182568
277	0.1538834708
278	0.1537713187
279	0.1535885402
280	0.1534510476
281	0.1533313933
282	0.1532287598
283	0.1531444005
284	0.1530277071
285	0.1528352283
286	0.1527544839
287	0.152592105
288	0.1524779365
289	0.1523662476
290	0.1521893456
291	0.1520304544
292	0.1519821258
293	0.1518910908
294	0.1517492022
295	0.1516995566
296	0.1515592575
297	0.151339095
298	0.1512824013
299	0.1511261168
300	0.1510110764
301	0.150836218
302	0.1507204328
303	0.150626891
304	0.1504159927
305	0.1502518608
306	0.1501863025
307	0.1500102452
308	0.1499708993
309	0.1497847966
310	0.1496132805
311	0.149441819
312	0.1492990403
313	0.1492075421
314	0.1491472335
315	0.1490704491
316	0.1490286328
317	0.1489311127
318	0.1488008953
319	0.1487382435
320	0.1486018953
321	0.1485492525
322	0322	0.154038323	0323	0.153905324	0324	0.153750325	0325	0.1537196931
326	0.1536197117
327	0.1534861247
328	0.1533941723
329	0.1532809303
330	0.1532158625
331	0.1531283969
332	0.1530428205
333	0.1529257638
334	0.1527998606
335	0.1527067639
336	0.152608708
337	0.1524612427
338	0.152261734
339	0.152224686
340	0.1520621345
341	0.1520253863
342	0.1519579751
343	0.1518781571
344	0.15345	0.146345	0.15346	0.146346	0.15347	0.1461711702
348	0.146050653
349	0.1459804444
350	0.1459337416
351	0.1457992645
352	0.1457057862
353	0.1455943153
354	0.1455153329
355	0.1454115913
356	0.145284135
357	0.1451977412
358	0.1451552436
359	0.1450862885
360	0.1450154986
361	0.1449163346
362	0.1448002043
363	0.1446363	0.1364	0.1445364	0.1365	0.144365	0.1366	0.1443366	0.1367	0.1443367	0.1368	0.1442368	0.1494590214
369	0.1493483044
370	0.1492918469
371	0.1492118472
372	0.1491441818
373	0.1490929195
